25			
25			
5	0	5	5
0	5	5	5
5	5	5	7
5	7	5	9
5	9	5	11
5	11	5	13
5	13	5	15
1	7	5	7
1	7	1	17
1	17	5	17
5	17	5	15
5	19	5	17
5	24	5	19
0	19	5	19
5	15	19	15
19	15	19	17
19	17	14	17
14	17	10	17
10	17	5	17
10	22	10	17
14	22	14	17
14	22	10	22
5	13	11	13
11	11	5	11
11	11	11	13
5	9	19	9
10	7	5	7
14	7	10	7
19	7	14	7
10	2	10	7
14	2	14	7
14	2	10	2
19	17	19	19
19	19	19	24
19	19	24	19
19	13	19	15
19	13	13	13
13	13	13	11
13	11	19	11
19	11	19	9
19	9	19	7
19	7	19	5
19	5	19	0
19	5	24	5
19	7	23	7
23	7	23	17
23	17	19	17
19	13	19	11
